Assago,Cargolift Srl
Besana in Brianza,Mas Ascensori
Busto Arsizio,SOCIETA' ELEVATORI BUSTO
Cernusco sul Naviglio,Sga Srl
Concorezzo,VICINI
Cormano,Ungari Srl
Cornaredo,Ascensori Fossati
Cremona,Angelo Rossi Ascensori S.r.l.
Filago,Panseri Ascensori Srl
Inzago,Fumagalli Elevatori
Lazzate,Balzarotti B.M.A. - Ascensori
Legnano,Fabbrica Ascensori Legnano Srl
Legnano,ITAL-LIFT S.r.l
Lissone,Cam 2 Ascensori
Milano,CAZZANI S.P.A.
Milano,Euroelevator
Milano,G. Caimi Elevatori Srl
Milano,Guidetti Ascensori
Milano,S.M.M.A. Manutenzione Montaggio Ascensori
Misinto,GRUPPO MILLEPIANI
Monza,Rossi Ascensori S.r.l Unipersonale
Olgiate Olona,Bagatta Ascensori Srl
Paderno Dugnano,C.M.T. S.n.c. - Crea Ascensori
Pero,Db Lift Draka Elevator Srl A Socio Unico
Peschiera Borromeo,Fem Elevatori
Piacenza,Mo.Ri.Ma
Rescaldina, L.A.M. Lombarda Ascensori Montacarichi
Rho,Auri Lift
Sesto San Giovanni,Giuman Ascensori Elevatori Snc
Settimo Milanese,CEM GROUP S.R.L.
Villasanta,Brima Ascensori S.R.L.
